stationfullname,station,latitudeN,longitudeW,depth,comment
LTER Station 3,LTER3,40.801849,-70.830487,,
CP01CNPM-00001,CNPM,40.136758,-70.774639,,
CP02PMCO,PMCO,40.096159,-70.883488,,
CP02PMCI,PMCI,40.227405,-70.883507,,
CP02PMUI vicinity ,PMUI,40.366,-70.775,,
UI survey 2,UI2,40.366292,-70.813382,,
UI survey 3,UI3,40.365012,-70.845017,,
IS,IS,40.363713,-70.882858,,
CP04OSPM,OSPM,39.94111,-70.883046,,
CP02PMUO,PMUO,39.939815,-70.7762,,
CP03ISPM,ISPM,40.363534,-70.884214,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
