cruise,cast,niskin,date_time_utc,latitude,longitude,nearest_station,station_distance,depth,sample_id,replicate,alternate_sample_id,project_id,nitrate_nitrite,ammonium,phosphate,silicate,flag_nitrate_nitrite,flag_ammonium,flag_phosphate,flag_silicate
AR22,1,1,2017-09-02 15:24:59,41.1298,-70.8313,,NaN,27.7,7,a,NaN,JP,0.04,0.79,0.093,2.175,1,3,1,1
AR22,1,1,2017-09-02 15:24:59,41.1298,-70.8313,,NaN,27.7,8,b,NaN,JP,0.04,0.454,0.094,2.195,1,3,1,1
AR22,1,2,2017-09-02 15:27:23,41.1298,-70.8313,,NaN,20.7,9,a,NaN,JP,0.04,0.572,0.107,0.768,1,1,1,1
AR22,1,2,2017-09-02 15:27:23,41.1298,-70.8313,,NaN,20.7,10,b,NaN,JP,0.04,0.691,0.114,0.731,1,1,1,1
AR22,1,3,2017-09-02 15:28:52,41.1298,-70.8313,,NaN,12.6,11,a,NaN,JP,0.04,0.303,0.147,0.371,1,3,1,3
AR22,1,3,2017-09-02 15:28:52,41.1298,-70.8313,,NaN,12.6,12,b,NaN,JP,0.04,0.628,0.115,0.62,1,3,1,3
AR22,1,4,2017-09-02 15:30:00,41.1298,-70.8313,,NaN,2.9,13,a,NaN,JP,0.04,0.677,0.097,0.03,1,4,3,4
AR22,1,4,2017-09-02 15:30:00,41.1298,-70.8313,,NaN,2.9,14,b,NaN,JP,0.04,0.01,0.199,0.996,1,4,3,4
AR22,2,1,2017-09-02 17:47:48,40.7963,-70.8283,,NaN,50.7,15,a,NaN,JP,0.851,1.623,0.297,2.914,4,1,3,4
AR22,2,1,2017-09-02 17:47:48,40.7963,-70.8283,,NaN,50.7,16,b,NaN,JP,3.265,1.28,0.53,8.561,4,1,3,4
AR22,2,2,2017-09-02 17:49:24,40.7963,-70.8283,,NaN,40.8,17,a,NaN,JP,1.124,0.966,0.343,3.064,1,1,1,1
