cruise,cast,niskin,date,latitude,longitude,depth,sample_id,replicate,nitrate_nitrite,ammonium,phosphate,silicate,alternate_sample_id,project_id,nearest_station,station_distance
AR24A,8,5,2017-10-24 04:32:00,40.493,-70.75,2.4,199,a,1.115,2.205,0.623,10.174,NA,LTER,L13,14.389
AR24A,8,5,2017-10-24 04:32:00,40.493,-70.75,2.4,200,b,1.13,2.195,0.668,10.167,NA,LTER,L13,14.389
AR24B,0,0,2017-10-30 18:45:00,41.36,-70.787,0.0,265,a,0.047,1.369,0.479,1.721,NA,LTER,MVCO,18.798
AR24B,0,0,2017-10-30 18:45:00,41.36,-70.787,0.0,266,b,0.0,1.793,0.433,1.766,NA,LTER,MVCO,18.798
AR28B,1,2,2018-04-03 20:30:00,41.197,-70.883,15.0,525,a,0.0,0.277,0.336,1.4,NA,LTER,L1,0.042
AR28B,1,2,2018-04-03 20:30:00,41.197,-70.883,15.0,526,b,0.0,0.348,0.334,1.361,NA,LTER,L1,0.042
AR28B,1,5,2018-04-03 20:33:00,41.197,-70.883,9.0,527,a,0.0,0.227,0.288,1.423,NA,LTER,L1,0.042
AR28B,1,5,2018-04-03 20:33:00,41.197,-70.883,9.0,528,b,0.0,0.093,0.269,1.439,NA,LTER,L1,0.042
AR28B,1,8,2018-04-03 20:35:00,41.197,-70.883,3.0,416,a,0.0,0.837,0.264,1.129,NA,LTER,L1,0.042
AR28B,1,8,2018-04-03 20:35:00,41.197,-70.883,3.0,417,b,0.0,0.453,0.275,1.455,NA,LTER,L1,0.042
AR39A,13,7,2019-09-30 21:17:00,40.3648,-70.775,7.0,1885,a,0.0,0.065,0.08,0.474,13-5,OOI,L13,0.022
